Adhola,English
Jomadho kosa jowire gi yen munyo joparo ni gikipiny no nyalo geŋo jo kwoŋ jwogi.,They drink or rub on their bodies “medicines” that are supposed to have magical power. 
  Joyiko gikipiny i lowo i pechin pajo munyo joparo nike gikipiny no nyalo kuro jo,"In their homes or in the ground, some people hide articles believed to have protective powers. "
"Jomegi jooro yen pa jothyeth rupiri joparo ni yen no nyalo konyo jo i miten pajo, kadho penji, kosa nywomo mon.","Others use magical “medicine” because they believe it will bring success in business, school exams, or courtship."
Mako mere gi Jehova amanyalo kurin kwoŋ men pa Sitan. ,Your best protection against Satan is to have Jehovah as your friend.
Jehova kodi jomalaika pere jo ni gi men madit swa loyo Sitan gi jwogi pere. ,Jehovah God and his angels are far more powerful than Satan and his demons.
Jehova mito swa konyo merin pere ma jotimo gima go yenyo.​,Jehovah is eager to show his strength in behalf of his friends who are completely loyal to him
Wach pa Were chiero wan thyeth.,God’s Word says: “You must not practice magic.”
 Jehova chiero thyeth gi yido rupiri kula no nyalo ketho dhano i men pa Sitan, Jehovah condemns magic and witchcraft because those practices can put one directly under the power of Satan the Devil
Sitan ketho ji i karatem ma timo gimarach,Satan tempts people to do bad things
Ŋata mito bedo mere pa Were kiripi timo gima Jehova dak,A person who wants to be God’s friend needs to hate what Jehovah hates
Me a gikipiny ma merin pa Jehova jokiripi timo:,Here are some things that God’s friends avoid:
Timo chot,Sexual sins
“Ikir’itim cot,“You must not commit adultery
 Nindo gi dhano ma fuodi ikinywomere gine obedo gimarach,Having sex before marriage is also wrong
Mero,Drunkenness
Jomero jokodonji i Ker pa Were,Drunkards will not inherit God’s kingdom
Nek kodi redho iyi jo,"Murder, Abortion"
“Ikir’ineki,“You must not murder
Kwo,Theft
“Ŋata yado kwalo wowey kwo,“You must not steal
Twodo,Lying
Jehova dak ‘jotwodo,Jehovah hates “a false tongue
Gorok kodi nge madit,Violence and Uncontrolled Anger
“Jatic pa Ruoth kiripi bedo jadhawirok,“Anyone loving violence Jehovah certainly hates
dhawirok,fits of anger
Tuko ma pesa. “Wikiri wimakere gi dhano ma wor.”,Gambling. “Quit mixing in company with anyone that is a greedy person.”​
Dakirok gi dhano rupiri kobedo janono perin,Racial and Ethnic Hatreds
" “Mari win jokwor mewin, odoko kway win ri joma timo riwin marac",“Continue to love your enemies and to pray for those persecuting you
Gikipiny ma Were wacho ri wan timo konyo wawegi,The things God tells us are for our good
Kimar bedo mayot weyo timo gimarach,It is not always easy to avoid doing bad things
" Jehova kanyachiel gi Wajulizi pere, jonyalo konyin timo gikipiny ma sangala go"," With Jehovah’s help and with the help of his Witnesses, you can avoid doing the things that displease God"
Yesu otito gimomiyo wamito rieko mawok bongi Were kodi cik ario madongo,Jesus explained why we need guidance and what two Biblical principles are of prime importance
"Ka ini gi mere perin m’imaro kendo m’iworo, itemo bedo paka go. ","When you have a friend whom you admire and respect, you try to be like him."
Baibul wacho ni: “Jehova ber kendo otire.”," “Good and upright is Jehovah,” says the Bible."
"Ka wamito bedo merin pa Were, waripo bedo jomabeyo kendo jomotire.","To be God’s friend, we must be good and upright. "
"Baibul wacho ni: “Paka wibedo nyithindho pa Were ma kachunye, wiripo temo cale go. ","The Bible says: “Become imitators of God, as beloved children, and go on walking in love.”"
Inyalo nedi chale gi Were?,Here are some ways to do that:
Kony ji,Be helpful to others
“Waripo timo bero ri dhano je,“Let us work what is good toward all
Timi tich gi men,Work hard
" “Ŋata yado kwalo woweyi kwo, kucel wocaki tic, wotimi tic mabeyo gi cinge"," “Let the stealer steal no more, but rather let him do hard work, doing with his hands what is good work"
Bedi dhano molony i del kodi i chunyin,Keep physically and morally clean
" “Walonyi win kwoŋ gimoro je ma koco delkwoŋ wan, kosa cuny wan, aka warangi lokirok maleŋ ma kicutho, ka walworo Were i kwo mawan"," “Let us cleanse ourselves of every defilement of flesh and spirit, perfecting holiness in God’s fear"
 Mari kendo wori jopecho perin.,Treat your family members with love and respect. 
"Jacwo je ripo maro cege paka won omare, aka dhako bende ripo miyo cwore dwoŋ.","Let each one of you love his wife as he does himself; on the other hand, the wife should have deep respect for her husband. "
"  Nyithindho, winji win jonywol mewin.”​"," Children, be obedient to your parents.”"
Mari ji,Show love to others
" “Wamare win, rupiri mar wok bongi Were"," “Let us continue loving one another, because love is from God"
Winji chik ma piny mibed’iye,Obey the laws of the land
“Dhano je ripo winjo or pa rwodhe ma piny,“Let every soul be in subjection to the [government]
cul win gima wiripo culo dhano; cul misolo perin bongi ŋat’iripo culo," Render to all their dues, to him who calls for the tax, the tax"
Yesu otito gimomiyo wamito rieko mawok bongi Were kodi cik ario madongo,Jesus explained why we need guidance and what two Biblical principles are of prime importance
"Ka imito kuro mere, iripo luwo gi mere perin.","To keep a friend, you need to talk with him."
" Iwinjo gima go wacho rin, aka go bende winjo gima iwacho ri go. ","You listen to him, and he listens to you. "
 Kendo iluwo maber kwoŋ mere perin ka ilyesa gi joman. , You also say good things about your friend to others.
Neni gima Baibul wacho kwoŋ gime:,Consider what the Bible says about this:
Luwi gi Jehova kis ndelo munyo ikwayo,Talk to Jehovah regularly in prayer
“Kway win Were hongo je,“Persevere in prayer
"Soma Wach pa Were, Baibul","Read God’s Word, the Bible"
" “Ndiko je Were am’omiyo meni, aka konyo swa ma fonjo adieri, kipusa komo, tiro podho, gi fonjo bedo gi kwo m’otire"," “All Scripture is inspired of God and beneficial for teaching, for reproving, for setting things straight"
Fuonji ji gima mako kwoŋ Were,Teach others about God
Kidhi win wiloki nonin je jofonjirok paran, Go therefore and make disciples of people of all the nations
wifonji jo mako or je m’amiyo win,teaching them to observe all the things I have commanded you
Timi mere gi merin pa Were,Draw close to God’s friends
“Kitipa marac nyeko kite maber,“He that is walking with wise persons will become wise
Kidhi kachokirok pa Wajulizi pa Jehova milwoŋo ni Kingdom Hall,Attend meetings at the Kingdom Hall
" “Weyi wapari win kwoŋ jowoti wan, munyo wakonyere i nyutho mar gi timo bero ri jowoti wan "," “Let us consider one another to incite to love and fine works, "
weyi wamiyere miseni,encouraging one another
Thyeli tich ma mako kwoŋ Ker pa Were,Help support the Kingdom work
" “Dhano je ripo miyo gimoro paka won oridho timo, m’ongoye kiŋunyaŋunya kosa paro ni orom aroma go timo; kole Were omaro ŋata miyo mic pere gi kisangala"," “Let each one give just as he has resolved in his heart, not grudgingly or under compulsion, for God loves a cheerful giver"
Nyutho mar ama ridho mere,Friendship is based on love
" Ka imedere fuonjirok gima mako kwoŋ Jehova, ibino medere maro go"," The more you learn about Jehovah, the greater will be your love for him"
" Ka imedere maro Jehova, ibino medere mito tiyo ri go"," As your love for God grows, your desire to serve him will also grow"
Gime bino miyin mito bedo jafuonjirok pa Yesu Kristo,This will move you to become a disciple of Jesus Christ
" Ka iriwere kanyachiel gi Wajulizi pa Jehova, ibino bedo mere pa Were chil gi chil","By joining the happy family of Jehovah’s Witnesses, you can experience God’s friendship forever"
Ginaŋo miripo timo?,What must you do?
"Nyutho ni imaro Were, iripo winjo or pere. ",You must show your love for God by obeying his laws.
“Me a dwoŋ maro Were: winjo or pere. Aka or pere kitek riwan timo.”​," “This is what the love of God means, that we observe his commandments; and yet his commandments are not burdensome.”​"
Kethi gikipiny mifuonjere i tim,Apply what you learn
Yesu omiyo wan giranena maber ma nyalo konyo wan ketho gima wafuonjere i tim,Jesus told a story that illustrates this
Dhano maryek ogeto ot pere wi tele,A wise man built his house on rock
Dhano mamiŋ ogeto ot pere i kwoyo,A foolish man built his house on sand
" Munyo asur okudho, ot moget wi tele kopodho, to ot moget i kwoyo opodho podho matek swa"," When a great storm came, the house built on rock did not cave in, but the house built on sand fell with a great crash"
" Yesu owacho ni joma winjo fuonji pere to joketho i tim, jochale gi dhano maryek mogeto ot pere wi tele",Jesus said that those who hear his teachings and do them are like the wise man who built on rock
To joma winjo fuonji pere to jokwero ketho i tim jochale gi dhano mamiŋ mogeto ot pere i kwoyo,But those who listen to his teachings and do not do them are like the foolish man who built on sand
 In imito chale gi dhano mene?,Which man do you want to be like?​
Miyi Were kwo perin,Dedication
Timo ameno nyutho ni ikwayo Jehova t’iwacho ri go ni imito timo gima go yenyo chil gi chil,This means that you go to Jehovah in prayer and tell him that you want to do his will forever
Timo gima Were yenyo nyutho ni ijafuonjirok pa Yesu Kristo,Doing God’s will shows that you are a disciple of Jesus Christ
Batisimo,Baptism
" “Ay obatisa in, aka reco perin wolwoki woko munyo ilwoŋo nyingi go",“Get baptized and wash your sins away by your calling upon his name
Tiyi ri Were gi men perin jye,Become fully involved in serving God
" “Gimoro je ma witimo, timi win gi cuny win acel, pa witiyo ri Rwoth, makiweno ri dhano"," “Whatever you are doing, work at it whole-souled as to Jehovah, and not to men"
"Soma iŋeyi ka Were winjo kwayo je, paka waripo kwayo, kodi giman ma waripo timo nyalo corok cegin gi Were","Find out whether God listens to all prayers, how we should pray, and what else we can do to draw close to God"
"Paka nwaŋo mere obedo gimatek, apaka kuro mere bende kiyot. ",It takes effort to make a friend; it takes effort to keep a friend. 
"Ka imako mere gi Were, ibino limo silwany.",Your efforts to become and remain a friend of God will be richly blessed.
Yesu owacho ri joma joyeyo go ni: “Adieri no bino miyo wibedo i siem.”,Jesus said to those who believed in him: “The truth will set you free.”
Gino nyutho aŋo?,What does that mean?
Inyalo limo syem pama. ,You can enjoy freedom now.
Inyalo both fuonji matwodo ma Sitan onyayo.,You can be free from the false teachings and lies that have been spread by Satan.
Ikobedi paka ji gana gi gana ma jongoye gi geno rupiri jokuya Jehova. ,You can be free from the hopelessness that fills the lives of millions of people who do not know Jehovah.
"Kendo, merin pa Were ‘jokilwor tho.’​",God’s friends are even free from the “fear of death.”
Ibino limo syem i piny manyien.,You can enjoy freedom in God’s new world.
Ibino limo syem madit swa i piny manyien!,What marvelous freedom you can enjoy in the future! 
"Piny manyien kobed’iye lweny, two, kodi turo chik.","In the Paradise earth, there will be freedom from war, sickness, and crime."
Kir chandi bende kobed’iye. ,Freedom from poverty and hunger.
Ti kodi tho kobedi. ,Freedom from old age and death. 
Lworo kodi chandirok moro jye kobedi i piny manyien.,"Freedom from fear, oppression, and injustice. "
 Baibul wacho ama kwoŋ Were: “Iyawo cingin t’iyeŋo mito pa kisi gima kwo je.,The Bible says of God: “You are opening your hand and satisfying the desire of every living thing.”​
Merin pa Were jobino limo kwo makirum.,God’s friends will live forever.
Were bino miyo merin pere mich ma kwo makirum,Everlasting life is a precious gift that God will give to all who seek his friendship.
Par paka kwo makirum lebedo!,Just think of what endless life would mean for you!
Ibino bedo gi hongo matimo gikipiny makweth.,You will have time to do many things
"Miti inyalo mito fuonjere goyo tongoli, ",Perhaps you would like to learn how to play a musical instrument
"Inyalo mito goyo pichin, kosa payo gikipiny.",Or maybe you want to learn to paint pictures or to be a carpenter
" Inyalo mito fuonjirok kwoŋ ogwange kosa yen, ",You might like to learn about animals or plants
kosa inyalo mito kidhoye i piny mopokere opokere kodi neno ji mopokere opokere.,Or possibly you want to travel and see different lands and peoples
 Ka inolimi kwo makirum ilenyalo timo gikipiny no jye!,Having everlasting life will make all these things possible!
Ibino limo merin makweth,You will have time to make many friends.
Kwo makirum bino miyin silwany ma ŋeyo merin pa Were makweth, Living forever will make it possible to get to know many others who have become God’s friends. 
Ibino ŋeyo tich ma jonyalo timo kodi kite pajo mabeyo,"You will come to know their talents and fine qualities, and they will be your friends too."
" Ibino maro jo, aka jo bende jobino marin"," You will love them, and they will love you."
Kwo makirum bino miyin hongo ma timo mere kodi kis dhano m’obedi i piny ka! ,Having endless life will give you the time to befriend everyone on earth! 
"Medo kwoŋ meno, mere perin kodi Jehova bino medere","Best of all, your friendship with Jehovah will grow ever stronger as the centuries pass. "
" Ri ameno, timi gimanyalere jye inyal bedo mere pa Were chil gi chil!",Do everything possible tobe God's friend
Kitawo lakonyin ŋeyo nger m’inyalo bedo mere pa Were,This information is designed to help you find out how to be God's friend
Were Mito Ni Ibedi Mere Pere,You can be God’s friend too.
Go lakonyin limo kisangala i kwo,He will help you to be happy and secure
Ginaŋo manyalo konyin ŋeyo gima go mito kodi gima go kimiti,That will help you to know what he likes and what he hates
"Go konyo wan ŋeyo gima go otimo cango con, gima go tima pama, kodi gima go latimo i hongo mabino","He has made it possible for us to know what he has done in the past, what he is doing now, and what he will do in the future"
Piny manyien k’obedi paka piny ma wan’iye pama,Paradise will not be like the world we live in now
Piny manyien ochale nedi?,What will it be like?
Aŋo manyutho?,How can we be sure?
Gima Baibul waco ri wan kwoŋ mikula ma ndir pa Nowa fonjo wan aŋo?,What does the Bible account about Noah mean for us today?
Inyalo ŋeyo jo to joweyo wondin,You can identify them and avoid being fooled
Ginaŋo ma jomito nike ji jowofonjere kwoŋ Jehova?,And what do they want people to know about Jehovah?
Nitye gikipiny m’opokere manyalo konyin nwaŋo din maradyeri,There are a number of things that can help you to identify it
Inyalo ŋeyo nedi din matwodo? Raŋo din matwodo rac swa?,How can you recognize false religion? Why is it so bad?
Baibul waco ri wan adyeri ma mako kwoŋ jomotho,The Bible does not leave us in any doubt
Raŋo Were kimiti ni wathyedhi?,Why does God condemn them?
Megi kwoŋ kula marecho ma Were kimiti a mene?,What are some of the practices that God hates?
Megi kwoŋ gikipiny mabeyo ma wanyalo timo bedo mere pa Were a mene?,What are some of the good works that can help us to become his friends?
"Nyalo kuro mere perin, iripo luwo gi go, winjo gima go waco rin, gi luwo kwoŋ maber","To keep a friend, you have to talk to him, listen to him, and say good things about him to others"
Ameno bende apaka obedo kwoŋ Were,The same is true with being a friend of God
"K’imedere fonjirok gima mako kwoŋ Were, ilamedo maro go","The more you learn about Jehovah, the greater will be your love for him"
Were lamiyin silwany k’ibedo mere pere,Everlasting life is a precious gift that God will give to his friends
Were Mito Ni Ibedi Mere Pere,God Invites You to Become His Friend
Were a Mere Maloyo Merin Jye,God Is the Best Friend You Could Ever Have
Ber Fonjere Gima Mako Kwoŋ Were,You Need to Learn About God
Inyalo Fonjere Nedi Gima Mako Kwoŋ Were?,How You Can Learn About God
Merin pa Were Jobino Bedo i Piny Manyien,God’s Friends Will Live in Paradise
Piny Manyien Chiegin Tundo!,Paradise Is Near!
Mikula ma Ndir pa Nowa Fuonjo Wan Aŋo?,A Warning From the Past
Jokwor pa Were a Jomene?,Who Are God’s Enemies?
Merin pa Were a Jomene?,Who Are God’s Friends?
Inyalo Nwaŋo Nedi Din Maradyeri?,How to Find the True Religion
Kweri Din Jye Matwodo!,Reject False Religion!
Jomotho Jo Nikune?,What Happens at Death?
Thyeth gi Yido Obedo Gimarach,Magic and Witchcraft Are Bad
Merin pa Were Jokitimi Gimarach,God’s Friends Avoid What Is Bad
Merin pa Were Jotimo Gimaber,God’s Friends Do What Is Good
Nyuthi Ni Imaro Were,Show Your Love for God
"Ka Imito Kuro Mere, Iripo Bedo Dhano Majamere","To Keep a Friend, You Must Be a Friend"
Bedi Mere pa Were Chil gi Chil!,Be God’s Friend Forever!
