Adhola,English
" Ka wakwero kula macale ameno, merin mawan gi jowat mawan jonyalo nyero wan kosa cero wan fonjirok gima mako kwoŋ Were"," When we reject such practices, some friends and relatives may ridicule or oppose us"
"Ri ameno, waripo yero gir’atima", So we face a choice
 Wanotiyere gi ji ma jomaro Were? , Will we associate with people who love God? 
Wanowinji cik ma Were miyo wan ru bero mawan? ,"Will we obey his wise and loving laws? If we do, we prove that Satan lied when he claimed that under pressure no one would do as God says"
"Ka watimo ameno, wanyutho ni Sitan otwodo munyo owaco ni ongoye dhano manyalo winjo Were ka nitie i dinyo","Ka watimo ameno, wanyutho ni Sitan otwodo munyo owaco ni ongoye dhano manyalo winjo Were ka nitie i dinyo"
Were lakwanyo woko candirok je rupiri go omaro ji,God’s love for mankind guarantees that evil and suffering will end
Joma joketho yeyo pajo i wac me jobino limo kwo makirum i piny,Those who demonstrate that they believe this will enjoy life on earth forever
"Wac maber wok bongi Jehova Were “majakisangala,” ma mito ni pecin wobed’iye kisangala","The good news comes from Jehovah, the happy God, who wants families to be happy"
Go amo’cako ri ji can ma nywomirok,He originated marriage
Nywomirok m’iyeyo i cik kelo kisangala i peco rupiri konyo jonywol kuro kodi pidho nyithindho pajo maber,Legal marriage is vital to family happiness because it provides a secure environment in which to raise children
Jokristo joripo luwo cik pa piny ma jobed’iye ma mako kwoŋ ndiko nywomirok pajo i cik,Christians should respect local laws concerning the registration of marriage
Were tero nedi nywomirok? ,How does God view marriage? 
"Go mito ni nywomirok wobedi i dier jacwo gi dhako, aka jokiri joweyere",He wants it to be a permanent union between a man and a woman
Jehova kimiti jocot,Jehovah wants husbands and wives to be loyal to each other
Go kimiti jacwo woriemi cege,He hates divorce
" Kwanyo woko, Were yeyo dhano eye i nywomirok to nywomere kosa to nywomo ŋatman ka nyawote otimo cot", But he does allow Christians to divorce and remarry if their spouse commits adultery
Jehova ocweyo cwo gi mon jowokonyere i nywomirok pajo,Jehovah created men and women to fill complementary roles in marriage
" Jacwo am’obedo jatel ma peco, aka go ripo limo ri jopeco pere gikipiny ma mitere i peco gi fonjo jo gima mako kwoŋ Were"," As family head, a husband should take the lead in providing materially for his family and in teaching them about God"
Go ripo maro cege,He should be self-sacrificing in his love for his wife
Jacwo kodi cege joripo mare kodi miyere wor,Husbands and wives should love and respect each other
" Rupiri jacwo gi cege jobedo ji ma jonyalo timo makosa, ka jomito limo kisangala i peco pajo, kis dhano ripo fonjere cwako ri nyawote"," Since all husbands and wives are imperfect, learning to forgive is a key to happiness in marriage"
"Ka wilimo teko i nywomirok mewin, kis dhano ripo timo gima nyalere je nyutho nyawote mar","If you experience difficulties in your marriage, both of you should work at treating each other with love"
Wac pa Were kinyuthi ni pokirok am’obedo nger ma cowo teko ma winigine i nywomirok mewin,God’s Word does not recommend separation as a way to resolve problems that are common in marriage
Jehova mito wilimi kisangala i kwo,Jehovah wants you to be happy
Jehova miyo soye ryeko maber manyalo konyo jo,He gives you the best advice on how to enjoy your youth
Go mito ni wiwinji jonywol mewin winyali limo kisangala,He wants you to benefit from the wisdom and experience of your parents
 Kendo Jehova mito ni wilimi kisangala mawok i timo gikipiny ma go kodi Wode jomito,Jehovah also wants you to experience the joy of doing things for your Creator and his Son
"Wiripo tiyo gi meni winyali limo ri nyithindho mewin cemo, kanindo, kodi ruk","You should work hard to provide food, housing, and clothing for your children"
"To ka wimito nyithindho mewin jowolimi kisangala i kwo, wiripo kir fonjo jo gikipiny ma mako kwoŋ Were","But for your children to find happiness, you also need to teach them to love God and to learn from him"
Jolamaro Were ka wiketho ri jo ranena maber,Your example in showing love for God can deeply influence your child’s heart
" Ka wifonjo nyithindho mewin munyo wioro Wac pa Were, joladongo gi kula maber"," When based on God’s Word, your instruction can mold your child’s thinking in a positive way"
Nyithindho jowinjo maber ka wifoyo gikipiny mabeyo ma jotimo,Children benefit when you encourage and commend them
Aka ber tiro jo jowonyali dongo gi kula maber,They also need correction and discipline
" Ka witimo ameno, nyithindho mewin jokobedi gi kula mareco manyalo cowo kwoŋ jo siem",Such training protects them from conduct that could rob them of happiness
 To kiber oro nge munyo wifonjo nyithindho mewin,"Yet, discipline should never be harsh or cruel"
Wajulizi pa Jehova jondiko kitawin makweth manyalo konyo jonywol kodi nyithindho,Jehovah’s Witnesses publish several books that are especially written to help parents and children
Rieko je manitie i kitawin no wok i Baibul,These books are based on the Bible
“Gwokere win kwoŋ jotuci wac Were ma twodo,“Be on the watch for the false prophets
Yesu ofonjo ji din acel kende mar’adieri,"Jesus taught his followers only one religion, the true religion"
Din mar’adieri cale gi royo ma tero jo i kwo makirum,It is like a road leading to everlasting life
Yesu owaco ni: “Ji manok ama jonwaŋo” royo no,Jesus said: “Few are finding” that road
"Din kende ma Were yeyo, a meno ma fonjo Wac pere manitie i Baibul",God accepts only worship based on his Word of truth
Joma jonitie i din mar’adieri jotiyere maber aka joyeyo gimoro acel,All true worshippers are united in one faith
"‘Jowaco ni joŋeyo Were, to tim pajo nyutho ni jodak go","“They publicly declare that they know God, but they disown him by their works"
Yesu owaco ni jofonji ma twodo di jobino to jofonjo gikipiny ma twodo. ,Jesus warned that false prophets would corrupt Christianity. 
Jocale gi Jokristo mar’adieri. ,"Outwardly, they seem like true worshippers. "
Aka joma joluwo jo jolwoŋere ni Jokristo. ,Their churches claim to be Christian.  
To inyalo ŋeyo nedi ni jokobedo Jokristo mar’adieri?,But how can you recognize such people for what they really are?
 Inyalo ŋeyo jo rupiri din mar’adieri kende amabed’iye ji ma jotimo gikipiny mabeyo.,Only true worship produces genuine Christians with recognizable qualities and ways.​
Onyo wey wanen gikipiny abic manyalo konyin ŋeyo din mar’adieri:,Consider these five identifying marks:
"Joma jonitie i din mar’adieri joworo Wac pa Were, Baibul",True worshippers respect the Bible as God’s Word
Jotemo swa luwo fonji manitie i Baibul,They strive to live by its principles
" Ri ameno, din mar’adieri opokere kwoŋ din maluwo paro pa ji",So true religion differs from religion that is based on men’s ideas
Joma jonitie i din mar’adieri joketho i tim gikipiny ma jofonjo,True worshippers do not preach one thing and practice another
"Joma jonitie i din mar’adieri joworo nyingi Were, Jehova","Jesus’ true followers honor God’s name, Jehovah"
Yesu onyutho ni woro nyingi Were munyo waco ri ji nyingi Were,Jesus honored God’s name by making it known
Yesu okonyo ji ŋeyo Were kendo ofonjo jo kwayo ni nyingi Were wolwor,He helped people to know God and taught them to pray that God’s name be sanctified
" I adec m’ibed’iye, din mene ma fonjo ji nyingi Were?","Where you live, which religion makes God’s name known?​"
Jokristo mar’adieri jofonjo kwoŋ Ker pa Were,True Christians preach about God’s Kingdom
Were odhiro Yesu i piny ka fonjo ji Wac maber ma mako kwoŋ Ker pa Were,God sent Jesus to preach the good news of the Kingdom
Ker pa Were kende ama lakwanyo woko teko pa ji je,God’s Kingdom is the only hope for mankind
Yesu oluwo kwoŋ Ker pa Were cuka otho,Jesus continued speaking about it until his dying day
Owaco ni jofonjirok pere di jofonjo kwoŋ Ker pa Were,He said that his followers would preach about it
" Dhano k’obino bongin to waco rin gima mako kwoŋ Ker pa Were, iparo ni ŋato wok i din mene?​"," If someone approaches you to speak about God’s Kingdom, to which religion does he likely belong?​"
Jokristo mar’adieri jokobedo ji pa piny,Jesus’ followers are no part of this wicked world
Inyalo ŋeyo jo rupiri jokidonji i wac mar’adhum ma piny kendo jokidonji i lweny,You can recognize them by the way they take no part in politics or social conflicts
Aka joweyo kula mareco manitie i piny kodi paro pa ji mareco," Also, they do not imitate the world’s harmful practices and attitudes"
Jokristo mar’adieri jomarere swa,True Christians have outstanding love for one another
Wac pa Were fonjo jo ni joripo woro ji ma nonin je," From God’s Word, they learn to respect all ethnic groups"
" Kada nende joma jonitie i din ma twodo jomaro donjo i lweny ma piny m’opokere opokere, joma jonitie i din mar’adieri jokitimi ameno"," Although false religions have often strongly supported the wars of the nations, true worshippers refuse to do so"
Kwanyo woko jooro meni kodi lim pajo konyo joman,"Rather, true Christians unselfishly use their time and resources to help and encourage others"
"Din mene ma fonji mere je wok i Baibul, ma woro nyingi Were, kendo ma fonjo ni Ker pa Were kende ama lakwanyo woko teko pa ji je? ","Which religion bases all its teachings on God’s Word, honors God’s name, and proclaims God’s Kingdom as mankind’s only hope?"
Din mene ma n’iye ji ma jomarere aka ma jokidonji i lweny? , Which group practices love and shuns war? 
Iparo ni a jomene?,What do you think?​
Cik pa Were kuro nedi kwo mawan?​,How could Bible principles move us to take safety precautions?​
Were riek loyo wan,Our Creator is wiser than we are
Go omaro wan swa aka mito ni wabedi gi kwo maber," As a loving Father, he cares for us"
K’obedo atoŋa pa Were nike wawegi wadhumere," Also, he did not intend for us to be independent of him"
"Paka nyithindho joripo limo rieko wok bongi jonywol pajo, apaka wabende waripo limo rieko wok bongi Were","So just as a small child needs the guidance of parents, we all need the guidance of God"
"Baibul obedo mic maber mawok bongi Were, rupiri n’iye rieko manyalo konyo wan i kwo",Bible principles provide guidance that is a gift from God
"Ka waluwo cik pa Jehova, wanyalo bedo gi kwo maber pama, aka wanyalo kir limo kwo makirum i hongo mabino. ",Jehovah’s laws and principles teach us the best way of life now and show us how we can gain everlasting rewards in the future.
"Rupiri Were am’ocweyo wan, go oŋeyo kis gimaber ri wan. Am’omiyo waripo winjo cik pere"," Since God created us, it is only right that we respond appreciatively to his guidance.​"
"Gikipiny man ma wasoma i Baibul k’obedo cik, kwanyo woko nyutho wan paro pa Were. ",Bible principles are fundamental truths. 
"Kucel, cik nyutho wan gima waripo timo. ","Laws, on the other hand, may be for specific circumstances."
Ruman waripo oro rieko nyaka to waneno nger ma gikipiny man ma wasoma i Baibul konyo wan., We must use thinking ability to understand how a principle applies in a particular situation.
"Paka gir’anena, Baibul fonjo ni kwo obedo mic mawok bongi Were.","For example, the Bible teaches that life is a gift from God. "
" Ka watieko ŋeyo ameno, watimo gimanyalere je geŋo gikipiny manyalo ketho kwo mawan i teko ka wanitie katic, peco, kosa ka wawotho i royo.​","That basic principle can guide us at work, at home, and while traveling."
Yesu oluwo kwoŋ cik ario maloyo man je. ,Jesus spoke of two principles of prime importance. 
Cik mar’apena nyutho gim’omiyo Were ocweyo wan. ,The first reveals the very purpose of human life​.  
"Were ocweyo wan wanyali  ŋeyo go, maro go, kodi timo tic pere gi cuny wan acel. ","God created us to know Him, to love him, and to serve him faithfully."
"Kis gimoro je ma wamito timo, kutho ber paro kwoŋ cik no. ",This first principle should be considered in all our decisions. 
"Joma jooro cik no i kwo pajo jolokere merin pa Were, jolimo kisangala, aka jolalimo kwo makirum.","Those who take this principle to heart  gain friendship with God, true happiness, and everlasting life.​"
Cik mar’ario fonjo wan tiyirok maber gi joman,The second principle can guide us into peaceful relationships with others
Cik no konyo wan tero ji paka Were tero jo,Applying this second principle involves imitating God’s way of treating people
"Ka jopeco joluwo cik pa Were manitie i Baibul, peco no bed’iye siem kodi kisangala",Bible principles teach families how to be united by love
 Kendo Baibul riwo peco rupiri fonjo jacwo gi cege ni kis dhano ripo cwire kwoŋ nyawote,God’s Word also protects families by teaching another guiding principle​—that marriage should be permanent
"Ka waketho i tim gima wafonjere i Baibul, nyalo kir konyo wan i nger man m’opokere opokere","By following Bible teachings, we can protect our material and emotional welfare"
" Paka gir’anena, kis dhano mito jatic magenere kendo matiyo gi meni"," For example, employers often prefer workers who live by the Bible principles of honesty and diligence"
"Odoko Baibul fonjo ni wakiripi rembo ka wanyalo limo gikipiny ma mitere i kwo, kendo fonjo ni waripo maro Were loyo ŋaŋo",God’s Word also teaches us to be content with the things that are necessary and to value friendship with God above material things
"Ka waluwo cik pa Were, nyalo kir kuro kwo mawan",Applying Bible principles can protect our health
"Paka gir’anena, ka waluwo cik ma cero wan mero, botho wan kwoŋ two kodi teko man ma jomero jolimo","For example, adhering to God’s law against drunkenness protects us from deadly diseases and accidents"
"Were yeyo wan madho mwenge, to nyaka manok",Jehovah permits us to drink alcoholic beverages but only in moderation
Kendo cik pa Were konyo wan bedo gi paro m’otire,Godly principles benefit us by teaching us to guard not just our actions but also our thoughts
To Jokristo mar’adieri jokiwinji cik pa Were rupiri konyo jo,"Yet, true Christians do not respect God’s standards merely to benefit themselves"
Jowinjo cik pa Were rupiri jomito miyo go dwoŋ,They do so to honor Jehovah
"Were mito ni ji ma nonin je jowokwayi go, ameno jowonyali core cegin gi go",God invites people of all sorts to draw close to him in prayer
To nitie kwayo ma Were kiwinji,"Yet, he does not listen to, or accept, all prayers"
" Paka gir’anena, Were kiwinji kwayo pa jacwo ma cando cege"," For example, the prayers of a man who mistreats his wife can be hindered"
" Cango munyo Joisiraili jomedere timo gikipiny mareco, Were okwero winjo kwayo pajo","Also, when the Israelites persisted in badness, God refused to hear their prayers"
Kwayo obedo silwany madwoŋ swa ma Were omiyo wan," Clearly, prayer is a privilege"
" Were winjo kir kwayo pa dhano m’oyido timo gikipiny mareco, ka ŋato oŋuto reco pere"," Nevertheless, God will accept the prayers of even gross sinners if they repent"
Kwayo obedo acel kwoŋ nger ma walam’iye Were. ,Prayer is part of our worship of God. 
"Ri ameno, waripo kwayo Jacwec mawan, Jehova kende. ","So we should pray only to our Creator, Jehovah. "
"Aka paka wabedo jotimi reco, waripo kwayo i nyingi Yesu rupiri go otho ri reco mawan. ","Also, since we are imperfect, we should pray in the name of Jesus because he died for our sins."
Jehova kimiti ni waluda kwayo ma wamako amaka i wiyi wan kosa m’ondiki i kitawo. ,Jehovah does not want us to repeat memorized or written prayers. 
Go mito ni gima wakwayo go wowoki i cuny wan,He wants us to pray from our heart.​
acwec mawan winjo kir kwayo ma nyaliŋliŋ,Our Creator can hear even silent prayers
"Go mito ni wakway go i hongo moro je; paka odikini, othieno, ka wakidho cemo, kosa ka walimo teko","He invites us to pray on every occasion, such as at the beginning and the end of the day, at mealtimes, and when we face problems"
"Kiyot bedo mere pa Were rupiri wabedo i dier ji ma jokiyey Were kendo ma jokiyey gikipiny ma Were ociko timo ri wan, paka kelo siem i piny",Drawing close to God is not easy because we live among people who lack faith in God and ridicule his promise of peace on earth
 Am’omiyo ber romo kanyacel gi Jokristo wadi wan wamedere meni," So we need the encouraging association of fellow believers, and they need us"
Romo kanyacel gi joma jomaro Were konyo wan corok cegin gi Were,Associating with people who love God helps us to draw close to God
" K’ikidho kama Wajulizi pa Jehova jorom’iye lamo Were, ilanwaŋo ji ma joni gi yeyo aka jolamedin meni",The meetings of Jehovah’s Witnesses provide fine opportunities to benefit from the faith of others
Inyalo core cegin gi Jehova k’imedo paro kwoŋ gikipiny m’itieko fonjere i Baibul,You can draw close to Jehovah by meditating on what you have learned from his Word
" Pari kwoŋ gikipiny ma Were timo, rieko ma go miyo wan, kodi gikipiny ma go ociko timo ri wan"," Contemplate his activities, his advice, and his promises"
Kwayo Were kodi paro kwoŋ gikipiny m’ifonjere lakonyin medo ŋeyo mar pa Were gi rieko pere,Prayerful meditation builds appreciation in our heart for God’s love and wisdom
"K’imito core cegin gi Were, ripere igeni go kendo ibedi gi yeyo","You can be close to God only if you trust in him, if you have faith in him"
To yeyo cale kodi gimakwo ma mitere pidho,But faith is like a living thing that needs feeding
Iripo pidho yeyo perin munyo iparo kwoŋ gikipiny m’ifonjere t’iridho ni obedo adieri,You must constantly feed your faith by reviewing the basis for your beliefs
Jehova dewo kwoŋ ji ma jomaro go,Jehovah cares for those who love him
Go nyalo kuro jo kwoŋ gimoro je manyalo nyapo yeyo pajo kosa cero jo limo kwo makirum,He can protect them from anything that could jeopardize their faith and their hope of everlasting life
Go waco ri wan gikipiny manyalo ketho kwo mawan i teko kendo manyalo cowo kwoŋ wan siem,He warns us against ways of life that threaten our health and happiness
Gikipiny ma Jehova fonjo wan konyo wan bedo gi kwo maber,Jehovah teaches us the best way of life
Kis din n’iye jomaber. ,There are sincere people in all religions. 
"Bero mere, Were neno jono aka dewo kwoŋ jo. ",It is good news that God sees those people and cares about them. 
To nitie gikipiny mareco madit swa matimere i din m’opokere opokere. ,"But sadly, religion has been used for evil ends. "
" Oŋeyere maber ni jodini jomaro donjo i lweny, neko ji, kodi timo kidakana kwoŋ nyithindho. ","According to news reports, some religions are even involved in terrorism, genocide, war, and child abuse."
Gikipiny no ŋedho cuny ji ma jomaro Were.​,How this saddens sincere believers in God!
Din mar’adieri miyo Were dwoŋ to din ma twodo timo gikipiny ma kisangala go. ,"Whereas true religion glorifies God, false religion displeases him."
Jofonjo gikipiny ma kimakere gi Baibul. ," It teaches ideas that are not in the Bible, "
Jokifonji adieri ma mako kwoŋ Were kodi kwoŋ jomotho. ,It teaches false ideas about God and about the dead. 
Jehova mito ni ji jowoŋeyi adieri ma mako kwoŋ go.,But Jehovah wants people to know the truth about him.​
Were oŋeyo maber swa jodini ma jorendere ni jomaro go to sano iy’adieri jomaro piny pa Sitan,"Happily, God is not deceived by religions that claim to love him but are really in love with Satan’s world"
Din ma twodo je Baibul lwoŋo ni “Babilon madwong,God’s Word refers to all false religion as “Babylon the Great
"” Babilon obedo tindi ma cango din ma twodo ocak’iye, rumacen ma mikula ma ndir pa Nowa",” Babylon was the ancient city where false religion began after the Flood of Noah’s day
Were cegin reyo woko din je ma wondo ji," Soon, God will bring a sudden end to religion that deceives and oppresses mankind"
Bero mere nitie,There is more good news. 
Jehova fodi poyo jomaber ma jonitie i din ma twodo m’opokere opokere i piny gipi. ,Jehovah has not forgotten the sincere people who are scattered among false religions worldwide.
Go riwo jono munyo fonjo jo adieri.​, He is uniting such people by teaching them the truth.
Din mar’adieri riwo ji,True religion is uniting people
Jehova dewo kwoŋ ji ma jomito timo gim’otire,Jehovah cares about people who love what is true and good
Go waco ri jono wok i din ma twodo,He urges them to leave false religion behind
Ji ma jomaro Were kibedi ri jo matek wiro kwo pajo to jotimo gima Were mito,People who love God are willing to make changes to please him
"Munyo Yesu otieko tho, ji m’oromo jowinjo wac maber ma jofonjirok pere oyido jofonjo to jojolo wac no gi kisangala","In the first century, when sincere people heard the good news from the apostles, they responded with joy"
Jofonjere gikipiny manyen ma mako kwoŋ Jehova to jolimo geno," They learned a new way of life from Jehovah, a happier way of life with a purpose and a hope"
" Jonyutho wan ranena maber rupiri munyo jowinjo wac pa Were, jojolo wac no to jotimo gima Were mito",They are a good example for us today because they responded to the good news by putting Jehovah first in their lives
Ji ma joeye i din ma twodo Jehova jolo jo i din mar’adieri. ,Jehovah welcomes into his family of worshippers those who turn away from false religion. 
"Ka inocaki lamo Jehova, ilalokere mere pere. ","If you accept Jehovah’s warm invitation, you will receive his friendship, "
Ibino lamo go kanyacel gi ji pere ma jomarere. ,"You will worship with a new and loving family of fellow worshippers of Jehovah, "
"Medo kwoŋ meno, ibino limo kwo makirum.","In addition to that, you will receive and everlasting life"
Were cegin reyo woko din je ma twodo,The coming judgment of false religion is good news
Meno obedo wac maber rupiri din ma twodo odoko k’okeli ri ji candirok i piny,It will bring worldwide relief from oppression
Odoko jokowondi ji kodi kelo ri ji pokirok,Never again will false religion mislead and divide mankind
" I hongo no, kis dhano labedo ni lamo Were acel kende mar’adieri",Everyone living will be united in the worship of the only true God
"Were cango oyero nyikway Abraham to loko jo nono acel, rumacen to miyo jo cik. ",God organized descendants of the patriarch Abraham into a nation and gave them a body of laws. 
Olwoŋo nono no ni “Isiraili” aka jo kende am’oyido joŋeyo nger m’otire ma lamo Were. ,He called the nation “Israel” and made it the custodian of true worship 
Were omiyo jo wac pere.,God made them custodians of His word
"Ri ameno, ji ma nonin je oyido jonyalo limo silwany wok kwoŋ Joisiraili.", So people of all nations could benefit from Israel.​
Were oyero Joisiraili bedo wajulizi pere,God chose the Israelites to be his witnesses
Gima mako kwoŋ jo nyutho ni ji jolimo silwany ka joluwo cik pa Were,Their ancient history provides a demonstration of how people benefit by obeying God’s laws
"Ri ameno, luwo kwoŋ Joisiraili, ji ma nonin man oyido jonyalo ŋeyo Were mar’adieri","Thus, through the Israelites, others could get to know the true God"
"Hongo otundo to Jehova weyo ameno tiyirok gi Joisiraili, to cako tiyirok gi Jokristo ayin","In time, Israel lost God’s favor, and Jehovah replaced that nation with the Christian congregation"
"Konon Jokristo mar’adieri ama jobedo Wajulizi pa Jehova, ma kiweno Joisiraili","Now, in place of the Israelites, true Christians serve as Jehovah’s witnesses"
Yesu obino ocano jofonjirok pere i kitipa acel to miyo jo tic ma fonjo wac maber ma mako kwoŋ Ker pa Were i piny gipi,Jesus organized his followers to preach and make disciples in all nations
"Tic no fodi kadho yuwaŋe i ndelo me ma rumacen, aka cegin kir rumo"," This work is reaching its climax now, in the conclusion of the present system of things"
Jehova oriwo ji matoth swa wok inonin je aka onyo jolamo go iy’adieri; gino oyido fodi k’otimereye wok con," For the first time in history, Jehovah has united millions from all nations in true worship"
Jokristo mar’adieri jonitie i kitipa acel aka jokonyere,True Christians are organized to encourage and help one another
" I cokirok pajo, jofonjere gimoro acel i piny gipi"," Worldwide, they enjoy the same program of Bible instruction at their meetings"
"I oro ma 1870, jochako paka jofonjirok ma Baibul.",In the 1870’s a small group of people started studying the bible
" I ndir no, jocako dwaro adieri manitie i Baibul m’oyido orwenyo.",They began rediscovering long-lost Bible truths. 
" Oyido joŋeyo ni cango Yesu Kristo ooro Jokristo mar’adieri fonjo ji wac maber ma mako kwoŋ Ker pa Were, to  ameno to jocako tito wac no gi derino i piny gipi. ","They knew that Jesus had organized the Christian congregation to preach, so they began an international Kingdom-preaching campaign."
"I oro ma 1931, ocaki lwoŋo jo ni Wajulizi pa Jehova.", In 1931 they adopted the name Jehovah’s Witnesses.​
"Munyo Yesu otieko tho, Jokristo mar’adieri ma ndir no oyido jolimo teli wok bongi jodongo ma jotero teli, aka jodongo no oyido jotero Yesu paka jateli pajo. ","In the first century, the Christian congregations in many lands benefited from a central governing body that recognized Jesus as the Head of the congregation. "
Kiri kononi Wajulizi pa Jehova jolimo teli wok bongi jodongo ma jotero teli i piny gipi. ,"Similarly today, Jehovah’s Witnesses worldwide benefit from a Governing Body of experienced elders. "
Jodongo no ama joneno ni tic ma timere i ofis pa Wajulizi pa Jehova i piny m’opokere opokere kadho maber.,Those elders ensure that good work is done in branch offices of Jehovah’s Witnesses in different countries
" I ofis no akama iwir’iye kitawin ma tito Baibul i dhudhok makalo 600, t’ipoko ri ji i piny gipi. ","It oversees branch offices of Jehovah’s Witnesses that translate, print, and distribute Bible-study material in over 600 languages."
"Wajulizi pa Jehova jonitie i kitipin mathindho thindho ma kalo 110,000 i piny gipi, aka joje jofonjere gimoro acel mawok bongi jodongo ma jotero teli."," Thus the Governing Body can provide Scriptural encouragement and direction for over 100,000 congregations worldwide."
Kis kitipa n’iye cwo ma jotiyo paka jodongo ma kitipa. ," In each congregation, qualified men serve as elders, or overseers. "
Cwo no joni gi mar aka jodewo swa kwoŋ rombo pa Were.,These men lovingly care for God’s flock.​
Wajulizi pa Jehova ocan jo tito wac maber kodi loko ji jofonjirok pa Yesu,Jehovah’s Witnesses are organized to preach the good news and make disciples
" Paka jomoor pa Yesu cango jotimo, wabende wafonjo ji i pecin pajo"," Like the apostles, we preach from house to house"
" Aka joma jomito fonjirok adieri manitie i Baibul, wafonjo jo nono",We also offer to study the Bible with sincere lovers of truth
To Wajulizi pa Jehova jokobedo abeda kitipa ma din,But Jehovah’s Witnesses are not just an organization
Wabedo wutimere gi nyimere kendo wani gi Bawan m’omaro wan swa,We are a family with a loving Father
Kis dhano dewo kwoŋ nyawote,We are brothers and sisters who care for one another
"Wajulizi pa Jehova a ji ma joloyo bedo gi kisangala i piny, rupiri jotimo gima  Were mito kendo jokonyo joman","Since Jehovah’s people are organized to please God and to help others, they form the happiest family on earth"
Gikipiny ma nyaka ifonjere i Baibul ripo bedo ni okonyin medo maro Jehova,"No doubt, this overview of basic Bible teachings has strengthened your love for Jehovah"
To iripo timo gimanyalere je nyalo kuro mar no,This love needs constant cultivation
Ilalimo kwo makirum k’imedere fonjirok gima mako kwoŋ Were,Your hope of everlasting life depends on whether you continue to draw close to God by studying his Word
"K’imedere ŋeyo Were, yeyo perin bino ridhere","As you grow in knowledge of God, your faith will become stronger"
Yeyo no lakonyin miyo Were winjo maber,Faith will help you to please God
Kendo yeyo lamiyin ŋuto reco perin kodi timo gikipiny ma Were mito,It will move you to repent and to make beneficial changes in your way of life
Inyalo bedo mere pa Jehova,You can enter into a special relationship with Jehovah
Adieri ilamito wacoye ri joman wac maber m’ifonjere i Baibul.,"Naturally, you will want to share with others what you have learned"
 Wajoje watimo ameno. ,we all enjoy telling good news.
Joma thoth jocako tito wac maber me ri wati kodi merin pajo,Most people start by sharing the good news with friends or relatives
"K’imedere fonjirok Baibul, ilaŋeyo nger m’inyalo oro Baibul tito ri joman gim’omiyo iyeyo Jehova, kendo ilanyalo tito ri jo wac maber m’ifonjere.​"," As you continue studying the Bible, you will learn how to use the Bible to explain your faith in Jehovah and the good news"
To ber oro rieko munyo iluwo gi jo,Be tactful
" Ikiri iwaci ri jo ni din pajo obedo ma twodo, to waci ri jo gikipiny maber ma Were ociko timo ri ji"," Rather than saying that their religion is mistaken, tell them about God’s promises"
Aka ber poyo ni kula perin maber amalaywayo ji loyo wac m’iluwo," Also, remember that people are often more impressed by your kind behavior than by what you say"
Fonjirok Wac pa Were lakonyin ridho yeyo perin t’ilokere mere pere. ​,Studying God’s Word will help you to grow spiritually. 
Aka ilabedo acel kwoŋ ji pa Jehova., You can actually belong to him as a member of his family.
Ilamedo dongo i yeyo perin k’imedere kisoma Wac pa Were,You can advance spiritually by continuing to study God’s Word
Waci ri Wajulizi pa Jehova jowofonjin kitawo m’ilwongo ni What Can the Bible Teach Us? ,Ask one of Jehovah’s Witnesses to study the Bible with you using the book What Does the Bible Really Teach? 
"K’imedere kisoma Wac pa Were, kwo perin bende lamedere bedo maber","The more you learn from God’s Word, the more successful your life will be"
"Wac maber wok bongi Jehova, Were majakisangala","The good news comes from Jehovah, the happy God"
Ilamedo core cegin gi Jehova k’iromo kanyacel gi ji pere,You can draw closer to him by drawing closer to his people
"K’imedere timo gima Jehova mito, meno nyutho ni imito limo kwo mar’adieri, m’obedo kwo makirum","By continuing your efforts to please Jehovah, you are reaching out for the real life​—everlasting life"
Ongoye gimaber loyo bedo mere pa Were,Drawing close to God is truly the best thing that you can do
Raŋo waripo lamo Were?,Why should we worship God?
Baibul fonjo wan aŋo kwoŋ Were?,What is God like?
Were nigi nyinge?,Does God have a name?
Jehova dewo kwoŋ wan?,Does Jehovah care about us?
Wanyalo nedi bedo merin pa Were?,How can we draw closer to God?
Were mar’adieri am’ocweyo kis gimoro je,The true God is the Creator of all things
" Go ongoye gi cakirok, kendo ongoye gi gike",He had no beginning and will never have an end
(Zabuli 90:2) Wac maber manitie i Baibul wok bonge,(Psalm 90:2) He is the Source of the good news found in the Bible
" (1 Timothe 1:11) Rupiri Were am’omiyo wan kwo, go kende ama waripo lamo"," (1 Timothy 1:11) Since God gave us life, we should worship only him"
Soma Menyirok 4:11,​Read Revelation 4:11
Ongoye dhano m’otieko nenoye Were rupiri Were obedo cuny,No human has ever seen God because he is a Spirit
 Meno nyutho ni go nigi kwo ma malo swa loyo cwec moro je manitie i piny ka,which means that he is a higher form of life than the physical creatures who live on earth (John 1:18; 4:24) 
(Yohana 1:18; 4:24) To wanyalo fonjere kite pa Were ka waneno gikipiny ma go ocweyo,"Nevertheless, we can discern God’s personality from the things he has made"
" Paka gir’anena, yen manyak giracama kodi mawuwa nyutho wan ni Were nigi mar kodi rieko"," For instance, the variety of fruits and flowers tells us of his love and wisdom"
"Gikipiny makweth ma Were ocweyo i polo g’ipiny nyutho wan ni go nigi meni, Soma Joroma 1:20.","The size of the universe tells us of his power, read Romans 1:20"
Wanyalo fonjere gikipiny makweth ma mako kwoŋ Were ka wasoma Baibul,We can learn even more about God’s personality by reading the Bible
